Country Name,2015_unem,2016_unem,2017_unem,2015_happiness,2016_happiness,2017_happiness
Canada,6.906000137,6.999000072,6.340000153,7.427,7.404,7.315999985
Mexico,4.313000202,3.858999968,3.420000076,7.187,6.778,6.578000069
United States,5.28000021,4.868999958,4.355000019,7.119,7.104,6.993000031
Brazil,8.437000275,11.60900021,12.82699966,6.983,6.952,6.635000229
Germany,4.624000072,4.122000217,3.746000051,6.75,6.994,6.951000214
South Korea,3.599999905,3.700000048,3.700000048,5.984,5.835,5.837999821
Russian ,5.571000099,5.559000015,5.211999893,5.716,5.856,5.962999821
China,4.599999905,4.5,4.400000095,5.14,5.245,5.272999763
Philippines,3.026000023,2.707999945,2.552000046,5.073,5.279,5.429999828
Haiti,13.72399998,13.64700031,13.40499973,4.518,4.028,3.602999926
Cambodia,1.19599998,1.131000042,1.062000036,3.819,3.907,4.168000221
Greece,24.89699936,23.53899956,21.48800087,4.857,5.033,5.227000237
